HTime,HThrottle,HBrake,HDRS,HRPM,HSpeed,HnGear,HLapPercentage
2021-09-05 00:00:32.515 +0000 UTC,100,0,8,11431,242,6,0.49399960522546627
2021-09-05 00:00:32.727 +0000 UTC,100,0,8,11491,243,6,0.4973727185068633
2021-09-05 00:00:32.735 +0000 UTC,100,0,8,11571,244,6,0.49750093701124365
2021-09-05 00:00:32.955 +0000 UTC,100,0,8,11651,245,6,0.5010564159618669
2021-09-05 00:00:32.967 +0000 UTC,100,0,8,11731,247,6,0.5012519480400501
2021-09-05 00:00:33.175 +0000 UTC,100,0,8,11745,249,6,0.5046655666917994
2021-09-05 00:00:33.207 +0000 UTC,100,0,8,11759,251,6,0.505193999104139
2021-09-05 00:00:33.395 +0000 UTC,100,50,8,11829,251,6,0.5083042586046083
2021-09-05 00:00:33.447 +0000 UTC,100,100,8,11899,252,6,0.5091517555509533
2021-09-05 00:00:33.615 +0000 UTC,50,100,8,11256,244,6,0.5118163522653578
2021-09-05 00:00:33.687 +0000 UTC,0,100,8,10613,237,6,0.5128739312568857
2021-09-05 00:00:33.835 +0000 UTC,0,100,8,10375,218,6,0.5148362215720518
2021-09-05 00:00:33.927 +0000 UTC,0,100,8,10138,199,6,0.5159993024192508
2021-09-05 00:00:34.055 +0000 UTC,0,100,8,9718,194,6,0.5176234415483068
2021-09-05 00:00:34.167 +0000 UTC,0,100,8,9298,189,5,0.5189676197543615
2021-09-05 00:00:34.275 +0000 UTC,0,100,8,8946,175,5,0.5201313852731518
2021-09-05 00:00:34.368 +0000 UTC,0,100,8,8594,161,5,0.5210852942976048
2021-09-05 00:00:34.495 +0000 UTC,0,100,8,8903,158,5,0.5223888414334489
2021-09-05 00:00:34.608 +0000 UTC,0,100,8,9213,155,4,0.5235196286200501
2021-09-05 00:00:34.715 +0000 UTC,0,100,8,8889,149,4,0.5245417906787598
2021-09-05 00:00:34.848 +0000 UTC,0,100,8,8565,143,4,0.5257654983497899
2021-09-05 00:00:34.935 +0000 UTC,6,50,8,8391,139,4,0.5265516267779903
